DN,geometry,mndwi,ndvi2,b5b4,b6b4,b7b4,b8ab4,b8b4,evi,nrvi,ndwi,gndvi,ndvi,b3b2,b3b4,oc2,b3b1,oc4,Fecha
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.02192792705168 -39.2502498661213, -72.02192792705168 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.19411321,0.07871353,0.1662529,0.25121766,0.40445712,0.3700247,0.47808444,0.0255702622089688,-0.007183302,0.15375343,-0.15375343,0.007183302,0.24038967,2.0484293,8057.303510320698,1.0283736,0.731792181685557,2020-03-26
6,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.02192792705168 -39.20878363260635, -72.02192792705168 -39.2502498661213, -72.14632662759655 -39.2502498661213, -72.14632662759655 -39.20878363260635))",0.7711698,0.35287443,0.43379113,0.5822437,1.2063113,1.0292547,1.620836,0.0245273563852755,0.013162209,0.6467692,-0.6467692,-0.013162209,0.82671964,9.414924,2921.403115420607,3.7538583,1.9084500246496097,2020-03-26
22,"POLYGON ((-72.14632662759655 -39.2502498661213, -72.1048603940816 -39.2502498661213, -72.1048603940816 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.85270274,0.5080474,0.5760538,0.7403715,1.3027668,1.1035494,1.4260207,-0.0122316882811014,-0.09607391,0.633432,-0.633432,0.09607391,0.8540091,6.3290486,1.4225127378560425,2.0004249,1.4509577078361455,2020-03-26
20,"POLYGON ((-72.1048603940816 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.29171609963626, -72.1048603940816 -39.29171609963626, -72.1048603940816 -39.2502498661213))",0.8853083,0.54096305,0.55865055,0.6340599,1.1756531,0.96288335,1.3008437,-0.0028566445575036,-0.013206752,0.69229805,-0.69229805,0.013206752,0.9261515,6.8033843,1.721064157771098,2.1719413,1.8449667707559223,2020-03-26
7,"POLYGON ((-72.06339416056665 -39.2502498661213, -71.98046169353672 -39.2502498661213, -71.98046169353672 -39.29171609963626, -72.06339416056665 -39.29171609963626, -72.06339416056665 -39.2502498661213))",0.77305233,0.43627998,0.44903094,0.47449702,0.9009763,0.75002307,0.9936116,0.0036333428204503,0.02914745,0.6324755,-0.6324755,-0.02914745,0.85403067,6.262982,1.7221977194478353,2.287112,1.9219900297155788,2020-03-26
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.02192792705168 -39.2502498661213, -72.02192792705168 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.15084751,-0.0018154044,0.2124533,0.30498725,0.40434787,0.39455804,0.3921057,0.0292934901897167,0.021349324,0.1455375,-0.1455375,-0.021349324,0.23981965,1.7284324,8700255405522766.0,0.4918991,0.8143265086340166,2021-03-04
2,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.02192792705168 -39.20878363260635, -72.02192792705168 -39.2502498661213, -71.98046169353672 -39.2502498661213, -71.98046169353672 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.20878363260635))",0.639783,0.21768759,0.51992166,0.806683,1.1350555,0.94489217,1.1622642,0.0131034028974119,-0.026146207,0.56283754,-0.56283754,0.026146207,0.6681757,7.524148,10.675714791629256,1.1995369,1.2934630833370255,2021-03-04
-2147483648,"POLYGON ((-72.27072532814142 -39.16731739909139, -71.93899546002177 -39.16731739909139, -71.93899546002177 -39.333182333151214, -72.27072532814142 -39.333182333151214, -72.27072532814142 -39.16731739909139), (-72.14632662759655 -39.20878363260635, -72.14632662759655 -39.29171609963626, -71.98046169353672 -39.29171609963626, -71.98046169353672 -39.2502498661213, -72.06339416056665 -39.2502498661213, -72.06339416056665 -39.20878363260635, -72.14632662759655 -39.20878363260635))",0.030775532,0.014722171,0.30649433,0.31526062,0.32201138,0.31795415,0.32057533,0.0502407492829664,-0.00129094,0.016310303,-0.016310303,0.00129094,0.29309306,0.3437169,0.5572999523109252,0.30057096,0.6267393454149022,2022-02-14
4,"POLYGON ((-72.14632662759655 -39.20878363260635, -72.06339416056665 -39.20878363260635, -72.06339416056665 -39.2502498661213, -72.14632662759655 -39.2502498661213, -72.14632662759655 -39.20878363260635))",0.10876874,0.040392555,0.92542845,0.9203759,0.9281469,0.9073332,0.9153774,0.0715930134881429,0.012303421,0.068949796,-0.068949796,-0.012303421,0.88549066,1.0542542,1.657504423189846,0.9058593,1.8560920719650704,2022-02-14
3,"POLYGON ((-72.14632662759655 -39.2502498661213, -71.98046169353672 -39.2502498661213, -71.98046169353672 -39.29171609963626, -72.14632662759655 -39.29171609963626, -72.14632662759655 -39.2502498661213))",0.109365456,0.039584976,0.9267382,0.91811246,0.9240645,0.90158457,0.9095622,0.0388300604280378,0.013233782,0.07018574,-0.07018574,-0.013233782,0.8889194,1.0566405,1.6675652987822147,0.9056734,1.8597678169067409,2022-02-14
